id;name;players;min_age;duration;categories;difficulty;rating;description;review;external_link;pros;cons;featured;image;rules_file;rules_sections;;;;;;;;;;;;
11;Jaipur;2;10;20;Cartas, Económico;Fácil;7.5;Un juego de cartas para dos jugadores en el que compites por ser el mercader oficial del Maharajá. Para ello, deberás comerciar y vender mercancías de forma más astuta que tu rival.;Uno de los mejores juegos para dos jugadores. Es rápido, con decisiones interesantes sobre cuándo coger cartas y cuándo vender. La tensión de esperar a tener un gran set de cartas o vender antes de que se agoten las fichas es constante.;https://boardgamegeek.com/boardgame/54043/jaipur;Perfecto para dos jugadores,Rápido y con decisiones interesantes,Equilibrio entre suerte y estrategia;El azar en el robo de cartas puede influir;false;/images/games/jaipur.webp;;"[{""title"": ""Objetivo del Juego"", ""content"": ""Ganar dos de tres rondas consiguiendo más puntos que tu oponente.""},{""title"": ""Acciones del Turno"", ""content"": ""En tu turno, puedes coger cartas del mercado (una, varias o todos los camellos) o vender un tipo de mercancía de tu mano.""},{""title"": ""Puntuación"", ""content"": ""Ganas puntos vendiendo mercancías. Vender grandes cantidades de una vez otorga fichas de bonificación.""},{""title"": ""Fin de la Ronda"", ""content"": ""La ronda termina cuando se agotan tres tipos de fichas de mercancía o el mazo de robo. El jugador con más puntos gana la ronda.}]""";;;;;;;;;;;;
12;Symbiose;2-abr;8;15;Abstracto, Naturaleza, Faroleo;Fácil;6.8;Un juego de faroleo y deducción para dos jugadores. Cada jugador intenta adivinar el animal secreto del otro jugando cartas de su mano que comparten características con dicho animal.;Un pequeño juego de deducción muy original. La gracia está en dar pistas sutiles con tus cartas para no revelar tu animal demasiado pronto, mientras intentas descifrar el del oponente.;https://boardgamegeek.com/boardgame/343384/symbiose;Original y rápido,Mucha deducción en poco tiempo,Bonitas ilustraciones;Puede ser un poco repetitivo;false;/images/games/symbiose.webp;;"[{""title"": ""Objetivo del Juego"", ""content"": ""Adivinar el animal secreto de tu oponente antes de que él adivine el tuyo.""},{""title"": ""Preparación"", ""content"": ""Cada jugador elige en secreto una de las 8 cartas de animal y recibe una mano de cartas de juego.""},{""title"": ""Turno del Jugador"", ""content"": ""Juegas una carta de tu mano que comparta al menos una característica (hábitat, dieta, etc.) con tu animal secreto.""},{""title"": ""Adivinar"", ""content"": ""En lugar de jugar una carta, puedes intentar adivinar el animal de tu oponente. Si aciertas, ganas. Si fallas, pierdes.}]""";;;;;;;;;;;;
13;Pelusas;2-jun;7;20;Party, Cartas, Habilidad;Fácil;6.9;¡Las Pelusas están por todas partes! Un juego de cartas en el que debes agrupar a estas adorables criaturas por colores. Pero cuidado, si no puedes jugar una carta, ¡te llevas todo el montón!;Un juego muy sencillo y rápido con un toque de 'Toma 6!'. Es ideal para familias y para rellenar pequeños huecos. El arte es muy simpático y las reglas no pueden ser más simples.;https://boardgamegeek.com/boardgame/256391/pelusas;Muy fácil y rápido de jugar,Ideal para familias,Componentes adorables;Muy dependiente del azar;false;/images/games/pelusas.webp;;"[{""title"": ""Objetivo del Juego"", ""content"": ""Ser el jugador con menos puntos (pelusas) al final de la partida.""},{""title"": ""Cómo Jugar"", ""content"": ""En tu turno, juegas una carta de tu mano en una de las cuatro filas. La carta debe ser del mismo color que la primera de la fila o tener el mismo número de pelusas.""},{""title"": ""Llevarse el Montón"", ""content"": ""Si no puedes jugar ninguna carta legalmente, debes recoger una de las filas y añadirla a tu pila de puntos.""},{""title"": ""Fin del Juego"", ""content"": ""La partida termina cuando un jugador se queda sin cartas. Todos cuentan las pelusas de las cartas que han recogido. Quien menos tenga, gana.}]""";;;;;;;;;;;;
14;¡Toma 6!;2-oct;8;30;Party, Cartas, Familiar;Fácil;6.9;Un juego de cartas simultáneo en el que los jugadores intentan evitar coger cartas. Cada carta que coges te da puntos negativos (cabezas de buey).;Un clásico que nunca falla en grupos grandes. Es caótico, impredecible y muy divertido. La tensión de elegir una carta y no saber si te obligará a llevarte una fila llena de puntos es genial.;https://boardgamegeek.com/boardgame/432/toma-6;Funciona genial con grupos grandes,Reglas muy sencillas,Caótico y divertido;Muy táctico, poco estratégico,El caos puede no gustar a todos;false;/images/games/toma-6.webp;;"[{""title"": ""Objetivo del Juego"", ""content"": ""Acabar la partida con la menor cantidad de puntos negativos (cabezas de buey).}";;;;;;;;;;;;
15;7 Wonders Duel;2;10;30;Estrategia, Cartas, Civilizaciones;Medio;8.1;Una adaptación para dos jugadores de 7 Wonders. Los jugadores compiten por la supremacía militar, científica o civil. La interacción es mucho más directa que en el juego original.;Una obra maestra de los juegos para dos. Cada carta que coges importa, no solo por lo que te da a ti, sino por lo que le niegas a tu oponente. Las múltiples condiciones de victoria mantienen la tensión hasta el final.;https://boardgamegeek.com/boardgame/173346/7-wonders-duel;Muy estratégico y tenso,Interacción muy directa,Tres formas de ganar;Solo para dos jugadores,La preparación puede ser algo tediosa;false;/images/games/7-wonders-duel.png;;"[{""title"": ""Objetivo del Juego"", ""content"": ""Ganar por supremacía militar, científica o por tener más puntos de victoria al final de la partida.""},{""title"": ""Draft de Cartas"", ""content"": ""Las cartas se disponen en una estructura en el centro de la mesa. En tu turno, coges una carta que no esté cubierta por otras.""},{""title"": ""Condiciones de Victoria"", ""content"": ""- **Militar:** Si el marcador de conflicto llega a la capital de tu oponente. \n- **Científica:** Si consigues 6 símbolos científicos diferentes. \n- **Civil:** Si nadie gana antes, el jugador con más puntos al final de la tercera era.""},{""title"": ""Fin del Juego"", ""content"": ""El juego termina inmediatamente si se cumple una condición de victoria militar o científica, o al final de la tercera era.}]""";"{""""title"""": """"Preparación""""";" """"content"""": """"Se colocan 4 cartas en la mesa para iniciar 4 filas. Cada jugador recibe 10 cartas.""""}";"{""""title"""": """"Turno del Jugador""""";" """"content"""": """"Todos los jugadores eligen una carta de su mano y la revelan a la vez. Las cartas se colocan en las filas en orden ascendente.""""}";"{""""title"""": """"Coger Cartas""""";" """"content"""": """"Si tu carta es la sexta en una fila"; debes recoger las cinco anteriores y tu carta inicia una nueva fila. Si tu carta es más baja que la última de cualquier fila;" debes elegir una fila para recoger.""""}";"{""""title"""": """"Fin del Juego""""";" """"content"""": """"Se juegan 10 rondas. Al final"; se cuentan las cabezas de buey de las cartas recogidas. Quien menos tenga;" gana.""}]"""
16;Blind Business;2-may;10;30;Party, Negociación, Faroleo;Fácil;6.5;Un juego de negociación a ciegas. Los jugadores son mafiosos que intentan hacer tratos para repartirse un botín, pero nadie sabe exactamente qué cartas tiene el otro.;Un party game de negociación pura y dura. Genera situaciones muy divertidas de desconfianza y faroleo. Las reglas son sencillas y las partidas, un caos de acusaciones y tratos rotos.;https://boardgamegeek.com/boardgame/343382/blind-business;Fomenta la negociación y el faroleo,Muy divertido en grupo,Partidas rápidas y caóticas;Requiere un grupo dispuesto a negociar,Puede ser muy ruidoso;false;/images/games/blind-business.jpeg;;"[{""title"": ""Objetivo del Juego"", ""content"": ""Ser el jugador con más puntos al final de la partida.""},{""title"": ""Fase de Negociación"", ""content"": ""Los jugadores tienen un tiempo limitado para negociar entre ellos, ofreciendo cartas de su mano sin revelarlas.""},{""title"": ""Intercambio"", ""content"": ""Dos jugadores pueden acordar un intercambio. Se entregan las cartas y las miran en secreto. Pueden aceptarlas o vetar el trato (con consecuencias).}";;;;;;;;;;;;
17;Cortex;2-jun;8;15;Party, Habilidad, Memoria;Fácil;6.6;Un juego que desafía tu agilidad visual, tu coordinación, tu memoria, tu capacidad de razonamiento... ¡incluso el tacto! Compite con los demás en 8 tipos de retos diferentes.;Un excelente 'brain trainer' hecho juego de mesa. Es muy dinámico y los diferentes tipos de prueba hacen que todos los jugadores tengan la oportunidad de destacar en algo. Las cartas táctiles son un añadido muy original.;https://boardgamegeek.com/boardgame/195059/cortex-challenge;Variedad de pruebas mentales,Divertido y educativo,Muy dinámico;Algunas pruebas son más difíciles que otras,No es para quien busca estrategia profunda;false;/images/games/cortex.jpg;;"[{""title"": ""Objetivo del Juego"", ""content"": ""Ser el primer jugador en conseguir las cuatro piezas de cerebro de diferentes colores.""},{""title"": ""Tipos de Retos"", ""content"": ""Hay 8 tipos de pruebas: memoria, laberinto, color, coordinación, repetición, frecuencia, razonamiento y desafío táctil.""},{""title"": ""Cómo Jugar"", ""content"": ""Se revela una carta y todos los jugadores intentan resolver el reto. El primero que cree tener la solución tapa la carta con la mano y dice la respuesta.""},{""title"": ""Conseguir Cerebros"", ""content"": ""Si aciertas, ganas la carta. Cuando tienes dos cartas del mismo tipo de reto, puedes cambiarlas por una pieza de cerebro.}]""";"{""""title"""": """"Puntuación""""";" """"content"""": """"Al final de la ronda";" se revelan las cartas y se puntúa según los sets que se hayan conseguido.""}]""";;;;;;;;;
18;Catan (cartas);2-abr;10;20;Estrategia, Cartas, Económico;Medio;6.8;Una adaptación para dos jugadores del universo Catan. Los jugadores gestionan sus principados, construyendo ciudades, edificios y unidades, y compitiendo por recursos y puntos de victoria.;Una versión más profunda y controlable de Catan para dos. Elimina gran parte del azar de los dados y se centra en la gestión de la mano y la construcción de un motor de recursos. Tiene más enjundia que el original.;https://boardgamegeek.com/boardgame/278/catan-card-game;Mucha profundidad estratégica,Poco azar,Muy rejugable;Puede ser largo y denso,Curva de aprendizaje mayor que el Catan original;false;/images/games/catan-cartas.jpg;;"[{""title"": ""Objetivo del Juego"", ""content"": ""Ser el primer jugador en alcanzar 12 puntos de victoria.""},{""title"": ""Preparación"", ""content"": ""Cada jugador empieza con un pequeño principado con dos poblados y una carretera.""},{""title"": ""Turno del Jugador"", ""content"": ""Lanzas un dado de producción para ver qué recursos ganas, puedes jugar cartas de acción y luego construir edificios, unidades o ampliar tu principado.""},{""title"": ""Fin del Juego"", ""content"": ""El primer jugador que alcance los 12 puntos de victoria al final de su turno, gana.}]""";;;;;;;;;;;;
19;Ciudadelas;2-ago;10;45;Estrategia, Roles Ocultos, Cartas;Medio;7.1;Los jugadores asumen nuevos roles cada ronda para adquirir oro y construir distritos, con el objetivo de ser el primero en completar su ciudad o tener la ciudad más valiosa.;Un juego brillante de selección de roles y faroleo. La gracia está en intentar adivinar qué personaje han elegido los demás para sacar el máximo provecho de tu habilidad, ya sea asesinando, robando o construyendo.;https://boardgamegeek.com/boardgame/205398/citadels;Selección de roles muy estratégica,Faroleo y deducción,Escala bien a diferentes números de jugadores;El entreturno puede ser largo,Un jugador puede quedar 'fuera' en una ronda;false;/images/games/ciudadelas.webp;;"[{""title"": ""Objetivo del Juego"", ""content"": ""Construir la ciudad con más puntos.""},{""title"": ""Fase de Selección de Roles"", ""content"": ""Al principio de cada ronda, los jugadores eligen en secreto un personaje con una habilidad especial.""},{""title"": ""Fase de Turnos"", ""content"": ""Se llama a los personajes por orden. En tu turno, tomas un recurso y puedes construir un distrito.""},{""title"": ""Fin del Juego"", ""content"": ""Termina la ronda en la que un jugador construye su séptimo u octavo distrito.}]""";;;;;;;;;;;;
20;Coloretto;2-may;8;20;Cartas, Set Collection, Familiar;Fácil;6.9;Un juego de coleccionar sets de cartas de camaleones de colores. En tu turno, o robas una carta para añadirla a una fila, o coges una de las filas de cartas. El truco es que solo tres colores te puntúan en positivo.;Simple, rápido y con decisiones más difíciles de lo que parece. La tensión de '¿robo una carta más para mejorar esta fila o me la llevo ya antes de que otro la estropee?' es constante. Un filler excelente.;https://boardgamegeek.com/boardgame/5782/coloretto;Reglas muy sencillas,Decisiones interesantes,Partidas rápidas;El azar puede ser determinante;false;/images/games/coloretto.jpg;;"[{""title"": ""Objetivo del Juego"", ""content"": ""Conseguir la mayor puntuación coleccionando cartas de colores.""},{""title"": ""Acciones del Turno"", ""content"": ""En tu turno, o robas una carta y la colocas en una fila, o coges todas las cartas de una de las filas.""},{""title"": ""Puntuación"", ""content"": ""Al final, cada jugador elige tres colores que le puntuarán en positivo. El resto de colores que haya cogido le restarán puntos.""},{""title"": ""Fin del Juego"", ""content"": ""La partida termina cuando se acaba el mazo de robo. El jugador con más puntos gana.}]""";;;;;;;;;;;;
21;Deep Sea Adventure;2-jun;8;20;Dados, Forzar la Suerte, Familiar;Fácil;6.8;Un juego de forzar la suerte en el que los jugadores son exploradores que intentan recuperar tesoros de las profundidades marinas. Todos comparten el mismo suministro de oxígeno, que se gasta más rápido cuantos más tesoros lleves.;Una pequeña joya de la tensión y la codicia. Es muy divertido ver cómo los jugadores se arriesgan cada vez más, consumiendo el oxígeno de todos, hasta que alguien entra en pánico e intenta volver. Muchas veces, nadie sobrevive.;https://boardgamegeek.com/boardgame/169654/deep-sea-adventure;Mecánica de forzar la suerte muy bien implementada,Mucha interacción indirecta,Tensión y risas garantizadas;Puede ser muy castigador,Depende mucho de las tiradas de dados;false;/images/games/deep-sea-adventures.webp;;"[{""title"": ""Objetivo del Juego"", ""content"": ""Ser el jugador con más puntos de tesoro después de tres rondas.""},{""title"": ""El Oxígeno Compartido"", ""content"": ""Todos los jugadores comparten un único marcador de oxígeno en el submarino. Al principio de cada turno, el oxígeno baja un nivel por cada tesoro que lleves.""},{""title"": ""Buceo"", ""content"": ""En tu turno, decides si quieres volver al submarino o seguir bajando. Luego, lanzas los dados para moverte y, si caes en una casilla con tesoro, puedes cogerlo.""},{""title"": ""Fin de la Ronda"", ""content"": ""La ronda termina cuando todos los jugadores han vuelto al submarino o se han ahogado. Solo los que vuelven a tiempo conservan sus tesoros.}]""";;;;;;;;;;;;
22;Exploding Kittens;2-may;7;15;Party, Familiar, Cartas;Fácil;6;Una versión de la ruleta rusa impulsada por gatitos. Los jugadores roban cartas hasta que alguien saca un Exploding Kitten, momento en el que explota y queda fuera del juego, a menos que tenga una carta de Desactivación.;Pura tensión y risas. Es un juego donde la suerte juega un papel crucial, pero saber cuándo y cómo jugar tus cartas de acción puede marcar la diferencia. Perfecto para grupos que no quieren pensar mucho.;https://boardgamegeek.com/boardgame/172154/exploding-kittens;Muy fácil de aprender,Partidas muy rápidas y tensas,Humor absurdo;Mucho azar,Poca profundidad estratégica;false;/images/games/exploding-kittens.jpeg;;"[{""title"": ""Objetivo del Juego"", ""content"": ""Ser el último jugador que no ha explotado.""},{""title"": ""Turno del Jugador"", ""content"": ""En tu turno, puedes jugar cartas de acción y terminas robando una carta del mazo.""},{""title"": ""Cartas Clave"", ""content"": ""- **Exploding Kitten:** Si la robas, estás eliminado. \n- **Desactivación:** Te salva de un Exploding Kitten. \n- **NOPE:** Cancela la acción de otro jugador.""},{""title"": ""Fin del Juego"", ""content"": ""El juego continúa hasta que solo queda un jugador.}]""";;;;;;;;;;;;
23;Exploding Kittens: Edición 2 jugadores;2;7;15;Cartas, Party;Fácil;6.2;Una versión del juego diseñada y equilibrada específicamente para dos jugadores. Mantiene la tensión de la ruleta rusa gatuna en un enfrentamiento cara a cara.;Adapta bien la experiencia original a dos jugadores, haciendo que la partida sea más táctica y menos caótica. Las reglas se ajustan para que el enfrentamiento sea directo y tenso desde el primer momento.;https://boardgamegeek.com/boardgame/322045/exploding-kittens-2-player-edition;Equilibrado para dos jugadores,Más táctico que el original,Rápido y directo;Pierde el caos divertido del multijugador;false;/images/games/exploding-kittens-2-jugadores.jpeg;;"[{""title"": ""Objetivo del Juego"", ""content"": ""Hacer que tu oponente robe un Exploding Kitten antes que tú.""},{""title"": ""Diferencias Clave"", ""content"": ""El mazo se prepara de una forma específica para dos jugadores para asegurar la tensión. Algunas reglas de cartas como el 'Ataque' se resuelven de forma diferente.""},{""title"": ""Juego"", ""content"": ""La mecánica base es la misma: juega cartas si quieres y termina tu turno robando una carta, rezando para que no sea un gatito explosivo.}]""";;;;;;;;;;;;
